Episode,Steps,Return
1,3,1.864
2,4,2.633
3,17,12.232
4,13,9.185
5,7,4.998
6,13,9.654
7,21,14.613
8,6,4.248
9,5,3.381
10,6,4.646
11,4,2.202
12,9,6.531
13,5,4.079
14,5,3.749
15,5,3.98
16,3,1.98
17,4,2.913
18,10,8.364
19,16,13.979
20,3,1.633
21,7,5.946
22,4,2.913
23,5,4.079
24,8,6.946
25,13,10.249
26,7,5.786
27,3,1.88
28,9,7.879
29,4,2.616
30,3,1.946
31,4,2.748
32,3,1.847
33,4,2.852
34,3,2.047
35,12,10.131
36,5,3.852
37,7,5.612
38,2,1.28
39,12,10.252
40,3,1.913
41,5,3.919
42,8,5.98
43,5,4.086
44,3,1.913
45,8,6.579
46,17,11.352
47,6,5.013
48,15,13.879
49,6,5.18
50,16,13.18
51,6,4.513
52,20,14.78
53,6,5.046
54,5,3.779
55,9,6.782
56,10,9.046
57,11,9.18
58,7,6.046
59,3,1.847
60,10,8.247
61,9,7.931
62,9,8.046
63,3,2.047
64,3,1.847
65,10,8.413
66,4,2.78
67,8,6.531
68,6,4.513
69,20,19.046
70,14,11.583
71,27,20.686
72,9,7.746
73,9,7.913
74,6,4.646
75,7,5.58
76,8,6.133
77,8,6.913
78,6,4.913
79,7,5.686
80,2,1.247
81,10,8.247
82,10,8.183
83,2,1.313
84,40,29.487
85,14,12.412
86,17,15.346
87,12,11.068
88,6,4.513
89,7,5.58
90,7,5.284
91,5,3.713
92,2,1.086
93,7,5.846
94,29,26.278
95,3,2.053
96,7,5.946
97,5,4.313
98,14,12.246
99,2,1.18
100,15,13.68
101,12,10.886
102,13,12.313
103,3,2.013
104,3,2.047
105,10,8.579
106,5,3.713
107,2,1.313
108,10,8.345
109,5,3.713
110,3,1.913
111,7,6.046
112,7,6.046
113,4,3.046
114,11,8.746
115,3,2.213
116,13,11.486
117,3,1.847
118,8,6.752
119,16,14.613
120,8,7.046
121,13,11.346
122,5,4.146
123,9,7.313
124,7,5.552
125,7,5.846
