Episode,Steps,Return,Crash
1.000000000000000000e+00,4.000000000000000000e+01,2.338240714534546427e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+01,2.240285297996132385e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+01,2.243002619296451172e+01,0.000000000000000000e+00
4.000000000000000000e+00,1.200000000000000000e+01,9.429739444264827242e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+01,2.285714289283290412e+01,0.000000000000000000e+00
6.000000000000000000e+00,4.000000000000000000e+01,2.100145476439307402e+01,0.000000000000000000e+00
7.000000000000000000e+00,4.000000000000000000e+01,2.091956147036007252e+01,0.000000000000000000e+00
8.000000000000000000e+00,1.300000000000000000e+01,7.810977351771761334e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.000000000000000000e+01,2.362050238344070507e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.400000000000000000e+01,1.238941446151915216e+01,1.000000000000000000e+00
