Episode,Steps,Return,Crash
1.000000000000000000e+00,1.600000000000000000e+01,1.147619047619047805e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+01,2.696504710437049468e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+01,2.232143492541938556e+01,0.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+01,2.630608491218095324e+01,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+01,2.347088530414243124e+01,0.000000000000000000e+00
6.000000000000000000e+00,6.000000000000000000e+00,3.857142857142856762e+00,1.000000000000000000e+00
7.000000000000000000e+00,2.600000000000000000e+01,1.795964362981057150e+01,1.000000000000000000e+00
8.000000000000000000e+00,9.000000000000000000e+00,6.142857142857142350e+00,1.000000000000000000e+00
9.000000000000000000e+00,4.000000000000000000e+01,2.772381973529391530e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+01,2.801594242467297491e+01,0.000000000000000000e+00
