Episode,Steps,Return,Crash
1.000000000000000000e+00,4.000000000000000000e+01,2.949414800139346937e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+01,2.789264905602357558e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+01,2.927332451752832299e+01,0.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+01,2.936081466806013296e+01,0.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+01,2.792494781440031915e+01,0.000000000000000000e+00
6.000000000000000000e+00,4.000000000000000000e+01,2.759414800139055046e+01,0.000000000000000000e+00
7.000000000000000000e+00,4.000000000000000000e+01,2.962598235959681148e+01,0.000000000000000000e+00
8.000000000000000000e+00,4.000000000000000000e+01,2.909410595990168247e+01,0.000000000000000000e+00
9.000000000000000000e+00,4.000000000000000000e+01,2.949414800139346582e+01,0.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+01,2.775931045779030626e+01,0.000000000000000000e+00
