Episode,Steps,Return,Crash
1.000000000000000000e+00,4.000000000000000000e+01,3.002748133472679726e+01,0.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+01,3.581562071156334781e+01,0.000000000000000000e+00
3.000000000000000000e+00,4.000000000000000000e+01,3.103659266455197496e+01,0.000000000000000000e+00
4.000000000000000000e+00,3.400000000000000000e+01,2.576081466806011733e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.000000000000000000e+01,3.182310836717307723e+01,0.000000000000000000e+00
6.000000000000000000e+00,4.000000000000000000e+01,3.165576704855049783e+01,0.000000000000000000e+00
7.000000000000000000e+00,4.000000000000000000e+01,3.136589830940088319e+01,0.000000000000000000e+00
8.000000000000000000e+00,2.800000000000000000e+01,2.102984241180245206e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.000000000000000000e+00,4.697712096953567062e+00,1.000000000000000000e+00
1.000000000000000000e+01,4.000000000000000000e+01,3.205681314524530734e+01,0.000000000000000000e+00
